number,value,datetime_start,datetime_complete,duration,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,state
36,0.8506366373719281,2024-06-07 17:33:07.737370,2024-06-07 17:33:08.740458,0 days 00:00:01.003088,0.035987513252546045,0.06652899898313777,9,1,167,COMPLETE
37,0.8052268490304728,2024-06-07 17:33:07.812170,2024-06-07 17:33:08.601061,0 days 00:00:00.788891,0.08226339123144599,0.15606624866149346,9,1,170,COMPLETE
38,0.8633471958005142,2024-06-07 17:33:07.914896,2024-06-07 17:33:08.777359,0 days 00:00:00.862463,0.02731179082125569,0.2757518590044818,9,1,174,COMPLETE
39,0.8581974719210953,2024-06-07 17:33:08.022609,2024-06-07 17:33:08.884074,0 days 00:00:00.861465,0.029732140388104244,0.2741007194885134,9,1,158,COMPLETE
40,0.8625205472229188,2024-06-07 17:33:08.188164,2024-06-07 17:33:09.068579,0 days 00:00:00.880415,0.026667172318359314,0.2733605575073569,9,1,163,COMPLETE
41,0.8625082793038594,2024-06-07 17:33:08.279920,2024-06-07 17:33:09.055615,0 days 00:00:00.775695,0.02832236467703238,0.2582624014999091,9,1,149,COMPLETE
42,0.814666062476659,2024-06-07 17:33:08.407578,2024-06-07 17:33:09.351823,0 days 00:00:00.944245,0.07378702734425399,0.2650275542411102,9,1,188,COMPLETE
43,0.8142377917745505,2024-06-07 17:33:08.420543,2024-06-07 17:33:09.364787,0 days 00:00:00.944244,0.06833621714111074,0.21567186822000256,8,1,184,COMPLETE
44,0.8309960858613544,2024-06-07 17:33:08.605050,2024-06-07 17:33:09.512394,0 days 00:00:00.907344,0.05926206706768863,0.2201294413231647,8,1,191,COMPLETE
45,0.8193706325082882,2024-06-07 17:33:08.742452,2024-06-07 17:33:09.652020,0 days 00:00:00.909568,0.06347932020204543,0.2625726141902661,10,1,185,COMPLETE
46,0.787469770539239,2024-06-07 17:33:08.780351,2024-06-07 17:33:09.715490,0 days 00:00:00.935139,0.12447276583507917,0.25602527007316117,8,1,186,COMPLETE
47,0.8261292491421106,2024-06-07 17:33:08.893049,2024-06-07 17:33:09.774332,0 days 00:00:00.881283,0.05929464118483684,0.2547589435351741,10,2,185,COMPLETE
48,0.8240424044637799,2024-06-07 17:33:09.059604,2024-06-07 17:33:10.226125,0 days 00:00:01.166521,0.06061748804581493,0.23122080432134126,8,2,280,COMPLETE
49,0.828677211352052,2024-06-07 17:33:09.071572,2024-06-07 17:33:10.177256,0 days 00:00:01.105684,0.05936960371978426,0.2309910991806361,8,2,280,COMPLETE
50,0.8313969831014155,2024-06-07 17:33:09.354814,2024-06-07 17:33:10.445538,0 days 00:00:01.090724,0.05792244272092759,0.22136123959086554,8,6,284,COMPLETE
51,0.7913751979375874,2024-06-07 17:33:09.367780,2024-06-07 17:33:10.472465,0 days 00:00:01.104685,0.11760687845509843,0.23640259176825307,10,6,278,COMPLETE
52,0.8723848936950155,2024-06-07 17:33:09.513391,2024-06-07 17:33:10.610098,0 days 00:00:01.096707,0.018529608301978154,0.24347628592727794,5,2,283,COMPLETE
53,0.7862647479941559,2024-06-07 17:33:09.655012,2024-06-07 17:33:10.754395,0 days 00:00:01.099383,0.13239500233078808,0.23821898033102423,5,2,280,COMPLETE
54,0.8747000959367137,2024-06-07 17:33:09.718482,2024-06-07 17:33:10.896709,0 days 00:00:01.178227,0.016629436044420482,0.2386064006685754,5,2,284,COMPLETE
55,0.8731148229768234,2024-06-07 17:33:09.783309,2024-06-07 17:33:10.934607,0 days 00:00:01.151298,0.01533132348409098,0.23994897558851394,5,6,277,COMPLETE
56,0.875636161758933,2024-06-07 17:33:10.180247,2024-06-07 17:33:11.196418,0 days 00:00:01.016171,0.015630666929087073,0.24028784978172352,5,6,214,COMPLETE
57,0.8620530690271617,2024-06-07 17:33:10.234103,2024-06-07 17:33:11.298146,0 days 00:00:01.064043,0.01930833676441552,0.11980721197733767,4,6,209,COMPLETE
58,0.8798806346605887,2024-06-07 17:33:10.447533,2024-06-07 17:33:11.467693,0 days 00:00:01.020160,0.01631480550683942,0.2829292701498242,10,4,211,COMPLETE
59,0.873171351928911,2024-06-07 17:33:10.482439,2024-06-07 17:33:11.631256,0 days 00:00:01.148817,0.01737253552859359,0.28598846009985635,5,3,244,COMPLETE
60,0.9210180337467768,2024-06-07 17:33:10.612092,2024-06-07 17:33:11.659865,0 days 00:00:01.047773,0.0004258324855292223,0.2887659647126992,4,3,208,COMPLETE
61,0.8872253733349725,2024-06-07 17:33:10.757387,2024-06-07 17:33:11.714680,0 days 00:00:00.957293,0.013439088478105224,0.28725508387973575,7,4,207,COMPLETE
62,0.8639431099424641,2024-06-07 17:33:10.898703,2024-06-07 17:33:11.977978,0 days 00:00:01.079275,0.015877933320202504,0.1664051590371753,4,4,209,COMPLETE
63,0.8977040376314565,2024-06-07 17:33:10.939594,2024-06-07 17:33:12.034812,0 days 00:00:01.095218,0.00227995837214362,0.2858877516484213,4,4,211,COMPLETE
64,0.9344935011350537,2024-06-07 17:33:11.200407,2024-06-07 17:33:12.411848,0 days 00:00:01.211441,0.0005065689860942008,0.2889759624360574,10,4,205,COMPLETE
65,0.8428066442592425,2024-06-07 17:33:11.301137,2024-06-07 17:33:12.544956,0 days 00:00:01.243819,0.04465238315610334,0.28470398210546677,10,4,246,COMPLETE
66,0.9327331171928349,2024-06-07 17:33:11.470685,2024-06-07 17:33:12.458190,0 days 00:00:00.987505,0.0006905954707904845,0.2872294672076445,10,5,177,COMPLETE
